term,page,context,tag,score
信号,2,動力車乗務員作業標準在来線異常時編改正控達 示年 月日 達示 番号 施行 年月 日主な改正事項 2011.3.28 運運第 76 号 2011.5.1 制定異常時編見直し 2011.4.1 運運第 1 号 2011.5.1 一部記載修正 2011.6.24 運運第 20 号 2011.7.1 省令改正に伴う取扱いの変更 2011.12.22 運運第 46 号 2012.2.1 発報信号で停止したときの取扱い一部変更 2012.3.28 運運第 70 号 2012.5.1 列車火災の取扱いの変更等 2012.6.6 運運第 14 号 2013.7.1 車内で急病人が発生したときの取扱い一部変更 2013.3.6 運運第 55 号 2013.4.1 一部記載修正 2013.4.5 運運第 1 号 2013.5.1 防護無線の取扱いの変更等 2013.7.1 運運第 31 号 2013.8.1 線路内立入りを発見した場合の取扱いの変更 2014.2.28 運運第104号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.3.27 運運第128号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.5.23 運運第 24 号 2014.7.1 ATS-SWにより非常ブレーキが動作したときの取扱い等変更 2014.6.25 運運第 37 号 2014.8.1 誘導信号機の速度見直しによる変更 2015.2.23 運運第110号 2015.4.1 取扱いの変更追加及び表記の統一 2015.7.24 運運第 24 号 2015.9.1 走行中、列車火災が発生したときの取扱いの変更 2015.8.12 運運第 30 号 2015.9.1 EB装置の故障 EB未投入防止機能動作によるボイス鳴動時の取扱い統合 2016.2.24 運運第 74 号 2016.4.1 取扱いの変更追加及び記載修正 2016.4.21 運運第 5 号 2016.6.1 救援を行う場合等の取扱いの一部変更 2016.11.14 運運第 71 号 2017.1.1 旅客通路設備故障時の取扱い追加 2017.2.22 運運第 92 号 2017.4.1 取扱いの変更追加及び記載の修正 2 0 1 8 年三,KNOWN,0.847586
非常ブレーキ,2,動力車乗務員作業標準在来線異常時編改正控達 示年 月日 達示 番号 施行 年月 日主な改正事項 2011.3.28 運運第 76 号 2011.5.1 制定異常時編見直し 2011.4.1 運運第 1 号 2011.5.1 一部記載修正 2011.6.24 運運第 20 号 2011.7.1 省令改正に伴う取扱いの変更 2011.12.22 運運第 46 号 2012.2.1 発報信号で停止したときの取扱い一部変更 2012.3.28 運運第 70 号 2012.5.1 列車火災の取扱いの変更等 2012.6.6 運運第 14 号 2013.7.1 車内で急病人が発生したときの取扱い一部変更 2013.3.6 運運第 55 号 2013.4.1 一部記載修正 2013.4.5 運運第 1 号 2013.5.1 防護無線の取扱いの変更等 2013.7.1 運運第 31 号 2013.8.1 線路内立入りを発見した場合の取扱いの変更 2014.2.28 運運第104号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.3.27 運運第128号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.5.23 運運第 24 号 2014.7.1 ATS-SWにより非常ブレーキが動作したときの取扱い等変更 2014.6.25 運運第 37 号 2014.8.1 誘導信号機の速度見直しによる変更 2015.2.23 運運第110号 2015.4.1 取扱いの変更追加及び表記の統一 2015.7.24 運運第 24 号 2015.9.1 走行中、列車火災が発生したときの取扱いの変更 2015.8.12 運運第 30 号 2015.9.1 EB装置の故障 EB未投入防止機能動作によるボイス鳴動時の取扱い統合 2016.2.24 運運第 74 号 2016.4.1 取扱いの変更追加及び記載修正 2016.4.21 運運第 5 号 2016.6.1 救援を行う場合等の取扱いの一部変更 2016.11.14 運運第 71 号 2017.1.1 旅客通路設備故障時の取扱い追加 2017.2.22 運運第 92 号 2017.4.1 取扱いの変更追加及び記載の修正 2 0 1 8 年三,KNOWN,0.833223
列車,2,動力車乗務員作業標準在来線異常時編改正控達 示年 月日 達示 番号 施行 年月 日主な改正事項 2011.3.28 運運第 76 号 2011.5.1 制定異常時編見直し 2011.4.1 運運第 1 号 2011.5.1 一部記載修正 2011.6.24 運運第 20 号 2011.7.1 省令改正に伴う取扱いの変更 2011.12.22 運運第 46 号 2012.2.1 発報信号で停止したときの取扱い一部変更 2012.3.28 運運第 70 号 2012.5.1 列車火災の取扱いの変更等 2012.6.6 運運第 14 号 2013.7.1 車内で急病人が発生したときの取扱い一部変更 2013.3.6 運運第 55 号 2013.4.1 一部記載修正 2013.4.5 運運第 1 号 2013.5.1 防護無線の取扱いの変更等 2013.7.1 運運第 31 号 2013.8.1 線路内立入りを発見した場合の取扱いの変更 2014.2.28 運運第104号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.3.27 運運第128号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.5.23 運運第 24 号 2014.7.1 ATS-SWにより非常ブレーキが動作したときの取扱い等変更 2014.6.25 運運第 37 号 2014.8.1 誘導信号機の速度見直しによる変更 2015.2.23 運運第110号 2015.4.1 取扱いの変更追加及び表記の統一 2015.7.24 運運第 24 号 2015.9.1 走行中、列車火災が発生したときの取扱いの変更 2015.8.12 運運第 30 号 2015.9.1 EB装置の故障 EB未投入防止機能動作によるボイス鳴動時の取扱い統合 2016.2.24 運運第 74 号 2016.4.1 取扱いの変更追加及び記載修正 2016.4.21 運運第 5 号 2016.6.1 救援を行う場合等の取扱いの一部変更 2016.11.14 運運第 71 号 2017.1.1 旅客通路設備故障時の取扱い追加 2017.2.22 運運第 92 号 2017.4.1 取扱いの変更追加及び記載の修正 2 0 1 8 年三,KNOWN,0.831508
装置,2,動力車乗務員作業標準在来線異常時編改正控達 示年 月日 達示 番号 施行 年月 日主な改正事項 2011.3.28 運運第 76 号 2011.5.1 制定異常時編見直し 2011.4.1 運運第 1 号 2011.5.1 一部記載修正 2011.6.24 運運第 20 号 2011.7.1 省令改正に伴う取扱いの変更 2011.12.22 運運第 46 号 2012.2.1 発報信号で停止したときの取扱い一部変更 2012.3.28 運運第 70 号 2012.5.1 列車火災の取扱いの変更等 2012.6.6 運運第 14 号 2013.7.1 車内で急病人が発生したときの取扱い一部変更 2013.3.6 運運第 55 号 2013.4.1 一部記載修正 2013.4.5 運運第 1 号 2013.5.1 防護無線の取扱いの変更等 2013.7.1 運運第 31 号 2013.8.1 線路内立入りを発見した場合の取扱いの変更 2014.2.28 運運第104号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.3.27 運運第128号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.5.23 運運第 24 号 2014.7.1 ATS-SWにより非常ブレーキが動作したときの取扱い等変更 2014.6.25 運運第 37 号 2014.8.1 誘導信号機の速度見直しによる変更 2015.2.23 運運第110号 2015.4.1 取扱いの変更追加及び表記の統一 2015.7.24 運運第 24 号 2015.9.1 走行中、列車火災が発生したときの取扱いの変更 2015.8.12 運運第 30 号 2015.9.1 EB装置の故障 EB未投入防止機能動作によるボイス鳴動時の取扱い統合 2016.2.24 運運第 74 号 2016.4.1 取扱いの変更追加及び記載修正 2016.4.21 運運第 5 号 2016.6.1 救援を行う場合等の取扱いの一部変更 2016.11.14 運運第 71 号 2017.1.1 旅客通路設備故障時の取扱い追加 2017.2.22 運運第 92 号 2017.4.1 取扱いの変更追加及び記載の修正 2 0 1 8 年三,NEW,0.785571
列車火災,2,動力車乗務員作業標準在来線異常時編改正控達 示年 月日 達示 番号 施行 年月 日主な改正事項 2011.3.28 運運第 76 号 2011.5.1 制定異常時編見直し 2011.4.1 運運第 1 号 2011.5.1 一部記載修正 2011.6.24 運運第 20 号 2011.7.1 省令改正に伴う取扱いの変更 2011.12.22 運運第 46 号 2012.2.1 発報信号で停止したときの取扱い一部変更 2012.3.28 運運第 70 号 2012.5.1 列車火災の取扱いの変更等 2012.6.6 運運第 14 号 2013.7.1 車内で急病人が発生したときの取扱い一部変更 2013.3.6 運運第 55 号 2013.4.1 一部記載修正 2013.4.5 運運第 1 号 2013.5.1 防護無線の取扱いの変更等 2013.7.1 運運第 31 号 2013.8.1 線路内立入りを発見した場合の取扱いの変更 2014.2.28 運運第104号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.3.27 運運第128号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.5.23 運運第 24 号 2014.7.1 ATS-SWにより非常ブレーキが動作したときの取扱い等変更 2014.6.25 運運第 37 号 2014.8.1 誘導信号機の速度見直しによる変更 2015.2.23 運運第110号 2015.4.1 取扱いの変更追加及び表記の統一 2015.7.24 運運第 24 号 2015.9.1 走行中、列車火災が発生したときの取扱いの変更 2015.8.12 運運第 30 号 2015.9.1 EB装置の故障 EB未投入防止機能動作によるボイス鳴動時の取扱い統合 2016.2.24 運運第 74 号 2016.4.1 取扱いの変更追加及び記載修正 2016.4.21 運運第 5 号 2016.6.1 救援を行う場合等の取扱いの一部変更 2016.11.14 運運第 71 号 2017.1.1 旅客通路設備故障時の取扱い追加 2017.2.22 運運第 92 号 2017.4.1 取扱いの変更追加及び記載の修正 2 0 1 8 年三,KNOWN,0.742378
線路,2,動力車乗務員作業標準在来線異常時編改正控達 示年 月日 達示 番号 施行 年月 日主な改正事項 2011.3.28 運運第 76 号 2011.5.1 制定異常時編見直し 2011.4.1 運運第 1 号 2011.5.1 一部記載修正 2011.6.24 運運第 20 号 2011.7.1 省令改正に伴う取扱いの変更 2011.12.22 運運第 46 号 2012.2.1 発報信号で停止したときの取扱い一部変更 2012.3.28 運運第 70 号 2012.5.1 列車火災の取扱いの変更等 2012.6.6 運運第 14 号 2013.7.1 車内で急病人が発生したときの取扱い一部変更 2013.3.6 運運第 55 号 2013.4.1 一部記載修正 2013.4.5 運運第 1 号 2013.5.1 防護無線の取扱いの変更等 2013.7.1 運運第 31 号 2013.8.1 線路内立入りを発見した場合の取扱いの変更 2014.2.28 運運第104号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.3.27 運運第128号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.5.23 運運第 24 号 2014.7.1 ATS-SWにより非常ブレーキが動作したときの取扱い等変更 2014.6.25 運運第 37 号 2014.8.1 誘導信号機の速度見直しによる変更 2015.2.23 運運第110号 2015.4.1 取扱いの変更追加及び表記の統一 2015.7.24 運運第 24 号 2015.9.1 走行中、列車火災が発生したときの取扱いの変更 2015.8.12 運運第 30 号 2015.9.1 EB装置の故障 EB未投入防止機能動作によるボイス鳴動時の取扱い統合 2016.2.24 運運第 74 号 2016.4.1 取扱いの変更追加及び記載修正 2016.4.21 運運第 5 号 2016.6.1 救援を行う場合等の取扱いの一部変更 2016.11.14 運運第 71 号 2017.1.1 旅客通路設備故障時の取扱い追加 2017.2.22 運運第 92 号 2017.4.1 取扱いの変更追加及び記載の修正 2 0 1 8 年三,KNOWN,0.587081
防護無線,2,動力車乗務員作業標準在来線異常時編改正控達 示年 月日 達示 番号 施行 年月 日主な改正事項 2011.3.28 運運第 76 号 2011.5.1 制定異常時編見直し 2011.4.1 運運第 1 号 2011.5.1 一部記載修正 2011.6.24 運運第 20 号 2011.7.1 省令改正に伴う取扱いの変更 2011.12.22 運運第 46 号 2012.2.1 発報信号で停止したときの取扱い一部変更 2012.3.28 運運第 70 号 2012.5.1 列車火災の取扱いの変更等 2012.6.6 運運第 14 号 2013.7.1 車内で急病人が発生したときの取扱い一部変更 2013.3.6 運運第 55 号 2013.4.1 一部記載修正 2013.4.5 運運第 1 号 2013.5.1 防護無線の取扱いの変更等 2013.7.1 運運第 31 号 2013.8.1 線路内立入りを発見した場合の取扱いの変更 2014.2.28 運運第104号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.3.27 運運第128号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.5.23 運運第 24 号 2014.7.1 ATS-SWにより非常ブレーキが動作したときの取扱い等変更 2014.6.25 運運第 37 号 2014.8.1 誘導信号機の速度見直しによる変更 2015.2.23 運運第110号 2015.4.1 取扱いの変更追加及び表記の統一 2015.7.24 運運第 24 号 2015.9.1 走行中、列車火災が発生したときの取扱いの変更 2015.8.12 運運第 30 号 2015.9.1 EB装置の故障 EB未投入防止機能動作によるボイス鳴動時の取扱い統合 2016.2.24 運運第 74 号 2016.4.1 取扱いの変更追加及び記載修正 2016.4.21 運運第 5 号 2016.6.1 救援を行う場合等の取扱いの一部変更 2016.11.14 運運第 71 号 2017.1.1 旅客通路設備故障時の取扱い追加 2017.2.22 運運第 92 号 2017.4.1 取扱いの変更追加及び記載の修正 2 0 1 8 年三,KNOWN,0.547575
乗務員,2,動力車乗務員作業標準在来線異常時編改正控達 示年 月日 達示 番号 施行 年月 日主な改正事項 2011.3.28 運運第 76 号 2011.5.1 制定異常時編見直し 2011.4.1 運運第 1 号 2011.5.1 一部記載修正 2011.6.24 運運第 20 号 2011.7.1 省令改正に伴う取扱いの変更 2011.12.22 運運第 46 号 2012.2.1 発報信号で停止したときの取扱い一部変更 2012.3.28 運運第 70 号 2012.5.1 列車火災の取扱いの変更等 2012.6.6 運運第 14 号 2013.7.1 車内で急病人が発生したときの取扱い一部変更 2013.3.6 運運第 55 号 2013.4.1 一部記載修正 2013.4.5 運運第 1 号 2013.5.1 防護無線の取扱いの変更等 2013.7.1 運運第 31 号 2013.8.1 線路内立入りを発見した場合の取扱いの変更 2014.2.28 運運第104号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.3.27 運運第128号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.5.23 運運第 24 号 2014.7.1 ATS-SWにより非常ブレーキが動作したときの取扱い等変更 2014.6.25 運運第 37 号 2014.8.1 誘導信号機の速度見直しによる変更 2015.2.23 運運第110号 2015.4.1 取扱いの変更追加及び表記の統一 2015.7.24 運運第 24 号 2015.9.1 走行中、列車火災が発生したときの取扱いの変更 2015.8.12 運運第 30 号 2015.9.1 EB装置の故障 EB未投入防止機能動作によるボイス鳴動時の取扱い統合 2016.2.24 運運第 74 号 2016.4.1 取扱いの変更追加及び記載修正 2016.4.21 運運第 5 号 2016.6.1 救援を行う場合等の取扱いの一部変更 2016.11.14 運運第 71 号 2017.1.1 旅客通路設備故障時の取扱い追加 2017.2.22 運運第 92 号 2017.4.1 取扱いの変更追加及び記載の修正 2 0 1 8 年三,KNOWN,0.511113
ATS,2,動力車乗務員作業標準在来線異常時編改正控達 示年 月日 達示 番号 施行 年月 日主な改正事項 2011.3.28 運運第 76 号 2011.5.1 制定異常時編見直し 2011.4.1 運運第 1 号 2011.5.1 一部記載修正 2011.6.24 運運第 20 号 2011.7.1 省令改正に伴う取扱いの変更 2011.12.22 運運第 46 号 2012.2.1 発報信号で停止したときの取扱い一部変更 2012.3.28 運運第 70 号 2012.5.1 列車火災の取扱いの変更等 2012.6.6 運運第 14 号 2013.7.1 車内で急病人が発生したときの取扱い一部変更 2013.3.6 運運第 55 号 2013.4.1 一部記載修正 2013.4.5 運運第 1 号 2013.5.1 防護無線の取扱いの変更等 2013.7.1 運運第 31 号 2013.8.1 線路内立入りを発見した場合の取扱いの変更 2014.2.28 運運第104号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.3.27 運運第128号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.5.23 運運第 24 号 2014.7.1 ATS-SWにより非常ブレーキが動作したときの取扱い等変更 2014.6.25 運運第 37 号 2014.8.1 誘導信号機の速度見直しによる変更 2015.2.23 運運第110号 2015.4.1 取扱いの変更追加及び表記の統一 2015.7.24 運運第 24 号 2015.9.1 走行中、列車火災が発生したときの取扱いの変更 2015.8.12 運運第 30 号 2015.9.1 EB装置の故障 EB未投入防止機能動作によるボイス鳴動時の取扱い統合 2016.2.24 運運第 74 号 2016.4.1 取扱いの変更追加及び記載修正 2016.4.21 運運第 5 号 2016.6.1 救援を行う場合等の取扱いの一部変更 2016.11.14 運運第 71 号 2017.1.1 旅客通路設備故障時の取扱い追加 2017.2.22 運運第 92 号 2017.4.1 取扱いの変更追加及び記載の修正 2 0 1 8 年三,KNOWN,0.470081
救援,2,動力車乗務員作業標準在来線異常時編改正控達 示年 月日 達示 番号 施行 年月 日主な改正事項 2011.3.28 運運第 76 号 2011.5.1 制定異常時編見直し 2011.4.1 運運第 1 号 2011.5.1 一部記載修正 2011.6.24 運運第 20 号 2011.7.1 省令改正に伴う取扱いの変更 2011.12.22 運運第 46 号 2012.2.1 発報信号で停止したときの取扱い一部変更 2012.3.28 運運第 70 号 2012.5.1 列車火災の取扱いの変更等 2012.6.6 運運第 14 号 2013.7.1 車内で急病人が発生したときの取扱い一部変更 2013.3.6 運運第 55 号 2013.4.1 一部記載修正 2013.4.5 運運第 1 号 2013.5.1 防護無線の取扱いの変更等 2013.7.1 運運第 31 号 2013.8.1 線路内立入りを発見した場合の取扱いの変更 2014.2.28 運運第104号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.3.27 運運第128号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.5.23 運運第 24 号 2014.7.1 ATS-SWにより非常ブレーキが動作したときの取扱い等変更 2014.6.25 運運第 37 号 2014.8.1 誘導信号機の速度見直しによる変更 2015.2.23 運運第110号 2015.4.1 取扱いの変更追加及び表記の統一 2015.7.24 運運第 24 号 2015.9.1 走行中、列車火災が発生したときの取扱いの変更 2015.8.12 運運第 30 号 2015.9.1 EB装置の故障 EB未投入防止機能動作によるボイス鳴動時の取扱い統合 2016.2.24 運運第 74 号 2016.4.1 取扱いの変更追加及び記載修正 2016.4.21 運運第 5 号 2016.6.1 救援を行う場合等の取扱いの一部変更 2016.11.14 運運第 71 号 2017.1.1 旅客通路設備故障時の取扱い追加 2017.2.22 運運第 92 号 2017.4.1 取扱いの変更追加及び記載の修正 2 0 1 8 年三,KNOWN,0.450421
故障,2,動力車乗務員作業標準在来線異常時編改正控達 示年 月日 達示 番号 施行 年月 日主な改正事項 2011.3.28 運運第 76 号 2011.5.1 制定異常時編見直し 2011.4.1 運運第 1 号 2011.5.1 一部記載修正 2011.6.24 運運第 20 号 2011.7.1 省令改正に伴う取扱いの変更 2011.12.22 運運第 46 号 2012.2.1 発報信号で停止したときの取扱い一部変更 2012.3.28 運運第 70 号 2012.5.1 列車火災の取扱いの変更等 2012.6.6 運運第 14 号 2013.7.1 車内で急病人が発生したときの取扱い一部変更 2013.3.6 運運第 55 号 2013.4.1 一部記載修正 2013.4.5 運運第 1 号 2013.5.1 防護無線の取扱いの変更等 2013.7.1 運運第 31 号 2013.8.1 線路内立入りを発見した場合の取扱いの変更 2014.2.28 運運第104号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.3.27 運運第128号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.5.23 運運第 24 号 2014.7.1 ATS-SWにより非常ブレーキが動作したときの取扱い等変更 2014.6.25 運運第 37 号 2014.8.1 誘導信号機の速度見直しによる変更 2015.2.23 運運第110号 2015.4.1 取扱いの変更追加及び表記の統一 2015.7.24 運運第 24 号 2015.9.1 走行中、列車火災が発生したときの取扱いの変更 2015.8.12 運運第 30 号 2015.9.1 EB装置の故障 EB未投入防止機能動作によるボイス鳴動時の取扱い統合 2016.2.24 運運第 74 号 2016.4.1 取扱いの変更追加及び記載修正 2016.4.21 運運第 5 号 2016.6.1 救援を行う場合等の取扱いの一部変更 2016.11.14 運運第 71 号 2017.1.1 旅客通路設備故障時の取扱い追加 2017.2.22 運運第 92 号 2017.4.1 取扱いの変更追加及び記載の修正 2 0 1 8 年三,KNOWN,0.419002
達示,2,動力車乗務員作業標準在来線異常時編改正控達 示年 月日 達示 番号 施行 年月 日主な改正事項 2011.3.28 運運第 76 号 2011.5.1 制定異常時編見直し 2011.4.1 運運第 1 号 2011.5.1 一部記載修正 2011.6.24 運運第 20 号 2011.7.1 省令改正に伴う取扱いの変更 2011.12.22 運運第 46 号 2012.2.1 発報信号で停止したときの取扱い一部変更 2012.3.28 運運第 70 号 2012.5.1 列車火災の取扱いの変更等 2012.6.6 運運第 14 号 2013.7.1 車内で急病人が発生したときの取扱い一部変更 2013.3.6 運運第 55 号 2013.4.1 一部記載修正 2013.4.5 運運第 1 号 2013.5.1 防護無線の取扱いの変更等 2013.7.1 運運第 31 号 2013.8.1 線路内立入りを発見した場合の取扱いの変更 2014.2.28 運運第104号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.3.27 運運第128号 2014.4.1 徐行速度見直し等に伴う取扱いの一部変更 2014.5.23 運運第 24 号 2014.7.1 ATS-SWにより非常ブレーキが動作したときの取扱い等変更 2014.6.25 運運第 37 号 2014.8.1 誘導信号機の速度見直しによる変更 2015.2.23 運運第110号 2015.4.1 取扱いの変更追加及び表記の統一 2015.7.24 運運第 24 号 2015.9.1 走行中、列車火災が発生したときの取扱いの変更 2015.8.12 運運第 30 号 2015.9.1 EB装置の故障 EB未投入防止機能動作によるボイス鳴動時の取扱い統合 2016.2.24 運運第 74 号 2016.4.1 取扱いの変更追加及び記載修正 2016.4.21 運運第 5 号 2016.6.1 救援を行う場合等の取扱いの一部変更 2016.11.14 運運第 71 号 2017.1.1 旅客通路設備故障時の取扱い追加 2017.2.22 運運第 92 号 2017.4.1 取扱いの変更追加及び記載の修正 2 0 1 8 年三,KNOWN,0.416736
